"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","10","9","10500","3964.0","3900","9400","2288.0","2300"
"org.openrewrite.java.migrate.UpgradeToJava6","10","9","10500","2672.0","2600","10400","2416.0","2400"
"org.openrewrite.java.migrate.UpgradeToJava17","10","9","16700","7920.0","7900","10700","3824.0","3800"
"org.openrewrite.java.migrate.UpgradeToJava7","10","9","25400","15840.0","15500","26300","14832.0","14800"
"org.openrewrite.java.migrate.lang.SwitchCaseAssignmentsToSwitchExpression","10","9","0","0.0","0","4099400","1507312.0","1502600"
"org.openrewrite.java.migrate.UpgradeToJava8","10","9","11900","4336.0","4100","10300","2144.0","2100"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","10","9","0","0.0","0","42600","43004.0","41000"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","10","9","0","0.0","0","11100","3068.0","3000"
"org.openrewrite.java.migrate.UpgradeToJava21","10","9","82000","73696.0","72800","40300","28640.0","27800"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","10","9","13600","6904.0","6700","15800","2912.0","2900"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","10","9","0","0.0","0","1203900","589568.0","564500"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","10","9","29300","14304.0","13900","55100","32704.0","32600"
"org.openrewrite.java.dependencies.ChangeDependency","10","9","0","0.0","0","11369400","655356.0","1059700"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","10","9","10500","3452.0","3400","12600","3184.0","3100"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","10","9","0","0.0","0","498400","147424.0","142900"
"org.openrewrite.java.migrate.ReplaceComSunAWTUtilitiesMethods","10","9","0","0.0","0","941000","180208.0","176600"
