"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"com.example.UpgradeJavaAndAxis2","16","2","156800","139232.0","132000","144400","102384.0","101200"
"org.openrewrite.java.migrate.jakarta.JavaxWebsocketToJakartaWebsocket","16","2","31200","5616.0","5400","119800","51072.0","50200"
"org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","16","2","40000","10720.0","10700","31400","6880.0","6800"
"org.openrewrite.java.migrate.javax.HttpSessionInvalidate","16","2","0","0.0","0","808400","131008.0","130200"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","16","2","0","0.0","0","634100","86012.0","92200"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","16","2","0","0.0","0","5735700","1900032.0","1860100"
"org.openrewrite.java.migrate.jakarta.UpdateApacheWSSecurityPackages","16","2","45200","14304.0","14200","56900","16352.0","16000"
"org.openrewrite.java.migrate.jakarta.JavaxAuthorizationMigrationToJakartaAuthorization","16","2","29100","4832.0","4800","28400","6384.0","6200"
"org.openrewrite.java.dependencies.ChangeDependency","16","2","0","0.0","0","59646000","1572856.0","5276500"
"org.openrewrite.java.migrate.javaee8.ServletIsRequestedSessionIdFromURL","16","2","24900","5624.0","5600","39300","8672.0","8300"
"org.openrewrite.java.migrate.jakarta.JavaxTransactionMigrationToJakartaTransaction","16","2","31000","6112.0","6000","33800","10208.0","9900"
"org.openrewrite.java.migrate.jakarta.JavaxXmlSoapToJakartaXmlSoap","16","2","31800","5104.0","5100","30800","6384.0","6200"
"org.openrewrite.java.dependencies.RemoveDependency","16","2","0","0.0","0","6500","2044.0","2000"
"org.openrewrite.java.ChangePackage","16","2","0","0.0","0","25934300","442240.0","5177400"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","16","2","36300","7904.0","7800","38800","6128.0","6100"
"org.openrewrite.maven.RemoveDependency","16","2","0","0.0","0","801300","819196.0","798900"
"org.openrewrite.java.migrate.jakarta.JavaxOrmXmlToJakartaOrmXml","16","2","52100","21440.0","20700","26700","4336.0","4300"
"org.openrewrite.java.migrate.jakarta.JavaxJmsToJakartaJms","16","2","27500","5104.0","5000","34100","6112.0","6100"
"org.openrewrite.java.migrate.jakarta.JavaxServletToJakartaServlet","16","2","41900","13296.0","12900","42700","17392.0","16500"
"org.openrewrite.java.migrate.jakarta.ApplicationPathWildcardNoLongerAccepted","16","2","0","0.0","0","3438800","409584.0","402900"
"org.openrewrite.java.migrate.jakarta.JavaxActivationMigrationToJakartaActivation","16","2","29600","8688.0","8200","24800","5872.0","5700"
"org.openrewrite.java.migrate.jakarta.JavaxSecurityToJakartaSecurity","16","2","28300","6112.0","5900","50000","17376.0","16400"
"org.openrewrite.java.migrate.jakarta.JavaxWsToJakartaWs","16","2","59300","36848.0","35900","57100","23520.0","23300"
"org.openrewrite.java.migrate.jakarta.JavaxXmlBindMigrationToJakartaXmlBind","16","2","25600","2800.0","2800","29800","6384.0","6200"
"org.openrewrite.java.migrate.jakarta.JavaxJwsToJakartaJws","16","2","48300","23536.0","22800","45000","19440.0","19200"
"org.openrewrite.java.migrate.jakarta.JavaxDecoratorToJakartaDecorator","16","2","40100","8160.0","8100","26300","5872.0","5800"
"org.openrewrite.java.migrate.jakarta.JavaxMailToJakartaMail","16","2","50700","18400.0","17900","29200","5360.0","5200"
"org.openrewrite.java.migrate.jakarta.JavaxElToJakartaEl","16","2","41100","13296.0","13100","30800","3680.0","3700"
"org.openrewrite.java.migrate.BeansXmlNamespace","16","2","0","0.0","0","32800","27640.0","26700"
"org.openrewrite.java.dependencies.UpgradeDependencyVersion","16","2","129407400","1310208.0","51655900","88206700","1572352.0","47016500"
"org.openrewrite.java.migrate.jakarta.JavaxEnterpriseToJakartaEnterprise","16","2","30000","5600.0","5600","33700","8672.0","8300"
"org.openrewrite.java.migrate.jakarta.JavaxEjbToJakartaEjb","16","2","33800","6368.0","6300","30500","4592.0","4500"
"org.openrewrite.java.dependencies.AddDependency","16","2","22484200","9957376.0","9895200","2146100","588800.0","580700"
"org.openrewrite.maven.ChangeDependencyClassifier","16","2","0","0.0","0","3458100","1769468.0","1761600"
"org.openrewrite.gradle.RemoveDependency","16","2","0","0.0","0","15800","13308.0","13300"
