"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"The source path of the file before the run. `null` when a source file was created during the run.","A recipe may modify the source path. This is the path after the run. `null` when a source file was deleted during the run.","In a hierarchical recipe, the parent of the recipe that made a change. Empty if this is the root of a hierarchy or if the recipe is not hierarchical at all.","The specific recipe that made a change.","An estimated effort that a developer to fix manually instead of using this recipe, in unit of seconds.","The recipe cycle in which the change was made."
"jdk_jboss_migration_poc\pom.xml","jdk_jboss_migration_poc\pom.xml","org.openrewrite.java.migrate.jakarta.JavaxServletToJakartaServlet","org.openrewrite.java.dependencies.UpgradeDependencyVersion","300","1"
"jdk_jboss_migration_poc\pom.xml","jdk_jboss_migration_poc\pom.xml","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxServletToJakartaServlet","300","1"
"jdk_jboss_migration_poc\pom.xml","jdk_jboss_migration_poc\pom.xml","","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","org.openrewrite.java.migrate.jakarta.JavaxPersistenceToJakartaPersistence","org.openrewrite.java.ChangePackage","300","1"
"jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxPersistenceToJakartaPersistence","300","1"
"jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
"jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","org.openrewrite.java.migrate.jakarta.JavaxValidationMigrationToJakartaValidation","org.openrewrite.java.ChangePackage","300","1"
"jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","org.openrewrite.java.migrate.jakarta.JavaxValidationMigrationToJakartaValidation","300","1"
"jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","jdk_jboss_migration_poc\src\main\java\com\example\common\Person.java","","org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","300","1"
