"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.config.CompositeRecipe","10","5","0","0.0","0","22200","20476.0","19900"
"org.openrewrite.java.migrate.jakarta.MigrationToJakarta10Apis","10","5","10800","3440.0","3400","7600","3192.0","3100"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","10","5","4200","1144.0","1100","7500","1840.0","1800"
"org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","10","5","4700","1208.0","1200","5700","1532.0","1500"
"org.openrewrite.java.migrate.javax.HttpSessionInvalidate","10","5","0","0.0","0","156700","53232.0","52000"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","10","5","0","0.0","0","10400","3068.0","3000"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","10","5","4200","2044.0","2000","8700","3568.0","3500"
"org.openrewrite.java.migrate.jakarta.JavaxTransactionMigrationToJakartaTransaction","10","5","6800","3708.0","3600","14900","11248.0","11200"
"org.openrewrite.java.migrate.jakarta.UpdateApacheCommonsEmailDependencies","10","5","6000","1528.0","1500","5100","2296.0","2300"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","10","5","0","0.0","0","330800","114672.0","112500"
"org.openrewrite.java.migrate.AddStaticVariableOnProducerSessionBean","10","5","2727000","2752256.0","2628500","152300","94080.0","92300"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","10","5","40700","11260.0","11000","46400","11772.0","11600"
"org.openrewrite.java.ReplaceStringLiteralValue","10","5","0","0.0","0","629000","163824.0","160600"
"org.openrewrite.java.migrate.jakarta.JavaxWebFragmentXmlToJakartaWebFragmentXml","10","5","9800","2812.0","2700","17200","3708.0","3700"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","10","5","5400","2300.0","2300","7000","2416.0","2400"
"org.openrewrite.java.migrate.jakarta.JavaxOrmXmlToJakartaOrmXml","10","5","25900","14816.0","14500","8100","2296.0","2200"
"org.openrewrite.java.migrate.jakarta.JavaxJmsToJakartaJms","10","5","13800","10748.0","10400","8300","2812.0","2700"
"org.openrewrite.java.migrate.logging.MigrateGetLoggingMXBeanToGetPlatformMXBean","10","5","0","0.0","0","220400","40944.0","39800"
"org.openrewrite.java.migrate.jakarta.RemoveJakartaAnnotationDependencyWhenManagedBySpringBoot","10","5","4980100","3537920.0","3506200","6500","2168.0","2100"
"org.openrewrite.java.ChangeMethodInvocationReturnType","10","5","0","0.0","0","693500","122876.0","120500"
"org.openrewrite.java.migrate.javax.MigrateSimpleAnnotationValueVisitor6To9","10","5","5100","2428.0","2400","8900","2296.0","2200"
"org.openrewrite.java.migrate.jakarta.JavaxWsToJakartaWs","10","5","7800","2684.0","2600","12400","5104.0","5100"
"org.openrewrite.maven.AddAnnotationProcessor","10","5","0","0.0","0","1400","412.0","400"
"org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID","10","5","0","0.0","0","615200","155640.0","148000"
"org.openrewrite.java.migrate.jakarta.JavaxEnterpriseToJakartaEnterprise","10","5","4800","1532.0","1500","7800","2032.0","2000"
"org.openrewrite.java.migrate.jakarta.JakartaWebXml6","10","5","4200","1724.0","1700","19500","14832.0","14600"
"org.openrewrite.java.migrate.javax.AddJaxbRuntime","10","5","361000","73472.0","70200","4560500","4455936.0","4253400"
"org.openrewrite.maven.ChangeDependencyClassifier","10","5","0","0.0","0","1913800","819196.0","787200"
