"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","10","9","11100","3448.0","3400","15100","7408.0","7400"
"org.openrewrite.java.migrate.UpgradeToJava6","10","9","13100","3704.0","3700","9900","3056.0","3000"
"org.openrewrite.java.migrate.UpgradeToJava17","10","9","138300","122864.0","119500","89600","69616.0","69500"
"org.openrewrite.java.migrate.UpgradeToJava7","10","9","12400","1904.0","1900","11300","3312.0","3200"
"org.openrewrite.java.migrate.lang.SwitchCaseAssignmentsToSwitchExpression","10","9","0","0.0","0","4702900","2228208.0","2225600"
"org.openrewrite.java.migrate.UpgradeToJava8","10","9","15300","4856.0","4800","13400","3568.0","3500"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","10","9","0","0.0","0","202500","204792.0","199000"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","10","9","0","0.0","0","19700","5624.0","5400"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","10","9","9600","3448.0","3400","20400","4336.0","4300"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","10","9","0","0.0","0","1218900","441856.0","427200"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","10","9","24500","9712.0","9400","47900","11744.0","11400"
"org.openrewrite.java.dependencies.ChangeDependency","10","9","0","0.0","0","232719700","753660.0","220396300"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","10","9","9300","2552.0","2500","14100","7408.0","7300"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","10","9","0","0.0","0","507700","155616.0","148500"
"org.openrewrite.java.migrate.ReplaceComSunAWTUtilitiesMethods","10","9","0","0.0","0","1279700","327664.0","323800"
"org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9","10","9","27000","17392.0","17000","12300","5616.0","5500"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","10","9","64200","24560.0","24200","46200","6880.0","6900"
"org.openrewrite.java.ReplaceStringLiteralValue","10","9","0","0.0","0","870700","221176.0","220500"
"org.openrewrite.java.migrate.UpdateSdkMan","10","9","0","0.0","0","4671300","3143680.0","3126200"
"org.openrewrite.java.migrate.net.MigrateURLEncoderEncode","10","9","0","0.0","0","33500","8696.0","8600"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","10","9","10300","2800.0","2800","37000","25584.0","24600"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerWeakCompareAndSetToWeakCompareAndSetPlain","10","9","11900","3192.0","3100","27600","10736.0","10500"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceWeakCompareAndSetToWeakCompareAndSetPlain","10","9","10100","1712.0","1700","21700","7136.0","7000"
"org.openrewrite.java.migrate.logging.MigrateInterfaceLoggingMXBeanToPlatformLoggingMXBean","10","9","59900","49136.0","47700","16500","5872.0","5800"
"org.openrewrite.java.migrate.javax.MigrateCounterMonitorSetThresholdToSetInitThreshold","10","9","11000","2544.0","2500","9500","3704.0","3700"
"org.openrewrite.java.migrate.logging.MigrateGetLoggingMXBeanToGetPlatformMXBean","10","9","0","0.0","0","84200","21496.0","20700"
"org.openrewrite.java.migrate.InternalBindPackages","10","9","12800","4080.0","4000","53000","19392.0","19400"
"org.openrewrite.java.ChangeMethodInvocationReturnType","10","9","0","0.0","0","1061900","376824.0","369600"
"org.openrewrite.java.migrate.lang.StringFormatted","10","9","0","0.0","0","279400","77816.0","74300"
"org.openrewrite.java.migrate.javax.MigrateSimpleAnnotationValueVisitor6To9","10","9","11800","5368.0","5200","12200","2672.0","2600"
