"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","12","0","12100","2168.0","2100","11600","3568.0","3500"
"org.openrewrite.java.migrate.UpgradeToJava6","12","0","12300","2680.0","2600","6400","1336.0","1300"
"org.openrewrite.java.migrate.UpgradeToJava17","12","0","98800","86000.0","83200","48000","38896.0","38400"
"org.openrewrite.java.migrate.UpgradeToJava7","12","0","11900","1912.0","1900","17900","9712.0","9300"
"org.openrewrite.java.migrate.lang.SwitchCaseAssignmentsToSwitchExpression","12","0","0","0.0","0","5125400","3276784.0","3223900"
"org.openrewrite.java.migrate.UpgradeToJava8","12","0","14000","2684.0","2600","10900","1520.0","1500"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","12","0","0","0.0","0","74500","73720.0","70800"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","12","0","0","0.0","0","14000","3068.0","3000"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","12","0","12000","2428.0","2400","12600","2416.0","2400"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","12","0","0","0.0","0","1129900","687872.0","682300"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","12","0","17500","3448.0","3400","41400","14784.0","14500"
"org.openrewrite.java.dependencies.ChangeDependency","12","0","0","0.0","0","10207100","589820.0","2048400"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","12","0","11700","3324.0","3300","10300","3312.0","3300"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","12","0","0","0.0","0","465600","172016.0","169500"
"org.openrewrite.java.migrate.ReplaceComSunAWTUtilitiesMethods","12","0","0","0.0","0","1045600","180208.0","175200"
"org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9","12","0","10100","2556.0","2500","8400","1648.0","1600"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","12","0","36100","3312.0","3300","36900","3040.0","3000"
"org.openrewrite.java.ReplaceStringLiteralValue","12","0","0","0.0","0","1084800","278520.0","262600"
"org.openrewrite.java.migrate.UpdateSdkMan","12","0","0","0.0","0","3444900","1767424.0","1753900"
"org.openrewrite.java.migrate.net.MigrateURLEncoderEncode","12","0","0","0.0","0","204000","38904.0","37400"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","12","0","9700","2172.0","2100","12700","6128.0","5900"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerWeakCompareAndSetToWeakCompareAndSetPlain","12","0","11800","2812.0","2700","18500","5344.0","5300"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceWeakCompareAndSetToWeakCompareAndSetPlain","12","0","10000","2428.0","2400","18500","3296.0","3200"
"org.openrewrite.java.migrate.logging.MigrateInterfaceLoggingMXBeanToPlatformLoggingMXBean","12","0","30900","12792.0","12400","16000","5104.0","4900"
"org.openrewrite.java.migrate.javax.MigrateCounterMonitorSetThresholdToSetInitThreshold","12","0","11000","1660.0","1600","9600","1712.0","1700"
"org.openrewrite.java.migrate.logging.MigrateGetLoggingMXBeanToGetPlatformMXBean","12","0","0","0.0","0","272400","42992.0","42100"
"org.openrewrite.java.migrate.InternalBindPackages","12","0","11200","1724.0","1700","26800","6624.0","6600"
"org.openrewrite.java.ChangeMethodInvocationReturnType","12","0","0","0.0","0","1260300","212988.0","210200"
"org.openrewrite.java.migrate.lang.StringFormatted","12","0","0","0.0","0","235200","34808.0","34200"
"org.openrewrite.java.migrate.javax.MigrateSimpleAnnotationValueVisitor6To9","12","0","9500","1916.0","1900","11600","2160.0","2100"
"org.openrewrite.maven.AddAnnotationProcessor","12","0","0","0.0","0","2000","412.0","400"
"org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID","12","0","0","0.0","0","376700","139260.0","137400"
"org.openrewrite.java.migrate.RemovedRMIConnectorServerCredentialTypesConstant","12","0","9800","2428.0","2400","11700","1840.0","1800"
"org.openrewrite.java.migrate.concurrent.JavaConcurrentAPIs","12","0","27000","8696.0","8700","47400","23536.0","23000"
"org.openrewrite.java.migrate.javax.AddJaxbRuntime","12","0","227100","81792.0","78300","5213500","4979712.0","4839700"
"org.openrewrite.java.migrate.ChangeDefaultKeyStore","12","0","0","0.0","0","118500","18400.0","17700"
"org.openrewrite.gradle.UpdateJavaCompatibility","12","0","0","0.0","0","568300","93952.0","94200"
"org.openrewrite.java.migrate.RemovedFileIOFinalizeMethods","12","0","9500","1852.0","1800","9100","1904.0","1900"
"org.openrewrite.maven.ChangeDependencyScope","12","0","0","0.0","0","146800","147452.0","144900"
"org.openrewrite.java.migrate.lang.MigrateSecurityManagerMulticast","12","0","0","0.0","0","13700","3576.0","3500"
"org.openrewrite.gradle.UpdateGradleWrapper","12","0","2303200","1899520.0","1839100","51100","18368.0","18300"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeMaven","12","0","0","0.0","0","2354400","2359292.0","2351100"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeGradle","12","0","0","0.0","0","11100","4848.0","4800"
"org.openrewrite.java.migrate.javax.MigrateTypeKindVisitor6To9","12","0","10600","2300.0","2200","15500","3312.0","3200"
"org.openrewrite.java.migrate.logging.MigrateLoggerLogrbToUseResourceBundle","12","0","0","0.0","0","12500","2552.0","2500"
"org.openrewrite.java.migrate.lang.SwitchExpressionYieldToArrow","12","0","0","0.0","0","1206400","212984.0","205400"
"org.openrewrite.maven.RemoveRedundantDependencyVersions","12","0","0","0.0","0","1307900","491516.0","488900"
"org.openrewrite.java.migrate.UpgradeBuildToJava17","12","0","14300","2552.0","2500","29300","5056.0","5000"
"org.openrewrite.java.ReplaceConstantWithAnotherConstant","12","0","0","0.0","0","79500","22512.0","22400"
"org.openrewrite.java.migrate.UpgradeBuildToJava11","12","0","10900","2300.0","2300","9500","2288.0","2300"
"org.openrewrite.java.migrate.CastArraysAsListToList","12","0","0","0.0","0","23700","4600.0","4400"
"org.openrewrite.java.migrate.JREWrapperInterface","12","0","12100","2812.0","2800","6800","1848.0","1800"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketSetTTLToSetTimeToLive","12","0","0","0.0","0","23700","4344.0","4100"
