"The recipe","Source file count","Source file changed count","Cumulative scanning time (ns)","99th percentile scanning time (ns)","Max scanning time (ns)","Cumulative edit time (ns)","99th percentile edit time (ns)","Max edit time (ns)"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.config.CompositeRecipe","12","10","0","0.0","0","16700","12792.0","12400"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","12","10","11100","3064.0","3000","24500","9184.0","8900"
"org.openrewrite.java.migrate.UpgradeToJava6","12","10","16300","8700.0","8300","11700","1840.0","1800"
"org.openrewrite.java.migrate.UpgradeToJava17","12","10","19800","6640.0","6600","15200","4576.0","4600"
"org.openrewrite.java.migrate.UpgradeToJava7","12","10","19300","9720.0","9600","10300","2544.0","2500"
"org.openrewrite.java.migrate.lang.SwitchCaseAssignmentsToSwitchExpression","12","10","0","0.0","0","4175900","2228208.0","2133100"
"org.openrewrite.java.migrate.UpgradeToJava8","12","10","19600","9208.0","8800","14200","2016.0","2000"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","12","10","0","0.0","0","140900","139260.0","138100"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","12","10","0","0.0","0","15200","2936.0","2900"
"org.openrewrite.java.migrate.UpgradeToJava21","12","10","162500","139256.0","136500","58900","42976.0","41200"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","12","10","27000","19448.0","18700","23500","4576.0","4600"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","12","10","0","0.0","0","1081300","622336.0","598500"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","12","10","20400","7160.0","7100","34400","5568.0","5500"
"org.openrewrite.java.dependencies.ChangeDependency","12","10","0","0.0","0","14912100","688124.0","1639100"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","12","10","77900","69624.0","69300","12800","2672.0","2600"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","12","10","0","0.0","0","482400","196576.0","193800"
"org.openrewrite.java.migrate.ReplaceComSunAWTUtilitiesMethods","12","10","0","0.0","0","1470800","294896.0","284100"
"org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9","12","10","16100","5880.0","5800","15500","3296.0","3200"
"org.openrewrite.java.migrate.jakarta.JavaxAnnotationMigrationToJakartaAnnotation","12","10","34100","5616.0","5500","38400","3424.0","3400"
"org.openrewrite.java.migrate.util.ListFirstAndLast","12","10","0","0.0","0","455600","94200.0","91300"
"org.openrewrite.java.ReplaceStringLiteralValue","12","10","0","0.0","0","1022100","253948.0","251000"
"org.openrewrite.java.migrate.UpdateSdkMan","12","10","0","0.0","0","5282500","2619392.0","2593500"
"org.openrewrite.java.migrate.net.MigrateURLEncoderEncode","12","10","0","0.0","0","224900","38904.0","37000"
"org.openrewrite.java.migrate.lang.MigrateCharacterIsSpaceToIsWhitespace","12","10","8200","1656.0","1600","14400","2784.0","2800"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerWeakCompareAndSetToWeakCompareAndSetPlain","12","10","25900","12792.0","12700","24700","7392.0","7300"
"org.openrewrite.java.migrate.concurrent.MigrateAtomicReferenceWeakCompareAndSetToWeakCompareAndSetPlain","12","10","11800","4344.0","4200","27200","4832.0","4800"
"org.openrewrite.java.migrate.logging.MigrateInterfaceLoggingMXBeanToPlatformLoggingMXBean","12","10","9600","2424.0","2400","30300","6880.0","6900"
"org.openrewrite.java.migrate.javax.MigrateCounterMonitorSetThresholdToSetInitThreshold","12","10","8100","2040.0","2000","11400","3440.0","3400"
"org.openrewrite.java.migrate.logging.MigrateGetLoggingMXBeanToGetPlatformMXBean","12","10","0","0.0","0","360100","57328.0","57200"
"org.openrewrite.java.migrate.InternalBindPackages","12","10","27300","17400.0","16800","46300","16320.0","16300"
"org.openrewrite.java.ChangeMethodInvocationReturnType","12","10","0","0.0","0","1309400","229372.0","225300"
"org.openrewrite.java.migrate.lang.StringFormatted","12","10","0","0.0","0","335500","57328.0","55300"
"org.openrewrite.java.migrate.javax.MigrateSimpleAnnotationValueVisitor6To9","12","10","9200","2424.0","2400","18100","3296.0","3300"
"org.openrewrite.maven.AddAnnotationProcessor","12","10","0","0.0","0","2400","508.0","500"
"org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID","12","10","0","0.0","0","555400","188400.0","186500"
"org.openrewrite.java.migrate.RemovedRMIConnectorServerCredentialTypesConstant","12","10","8600","1848.0","1800","14000","2272.0","2200"
"org.openrewrite.java.migrate.concurrent.JavaConcurrentAPIs","12","10","17400","4344.0","4100","27600","6624.0","6400"
"org.openrewrite.java.migrate.javax.AddJaxbRuntime","12","10","302000","110464.0","110000","5110700","4717568.0","4677800"
"org.openrewrite.java.migrate.ChangeDefaultKeyStore","12","10","0","0.0","0","158600","24560.0","24500"
"org.openrewrite.java.migrate.lang.ThreadStopUnsupported","12","10","0","0.0","0","853600","212984.0","206600"
"org.openrewrite.gradle.UpdateJavaCompatibility","12","10","0","0.0","0","1129300","139008.0","139100"
"org.openrewrite.java.migrate.RemovedFileIOFinalizeMethods","12","10","24500","17400.0","17400","15100","5344.0","5300"
"org.openrewrite.maven.ChangeDependencyScope","12","10","0","0.0","0","226600","229372.0","224500"
"org.openrewrite.java.migrate.lang.MigrateSecurityManagerMulticast","12","10","0","0.0","0","13200","3320.0","3200"
"org.openrewrite.gradle.UpdateGradleWrapper","12","10","3090500","2030592.0","2000900","79000","25536.0","25500"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeMaven","12","10","0","0.0","0","2766100","2883576.0","2762800"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime$AddJaxwsRuntimeGradle","12","10","0","0.0","0","12700","6640.0","6400"
"org.openrewrite.java.migrate.javax.MigrateTypeKindVisitor6To9","12","10","9200","2168.0","2100","20400","3552.0","3500"
"org.openrewrite.java.migrate.logging.MigrateLoggerLogrbToUseResourceBundle","12","10","0","0.0","0","34100","24568.0","24100"
"org.openrewrite.java.migrate.lang.SwitchExpressionYieldToArrow","12","10","0","0.0","0","1583000","294904.0","284800"
"org.openrewrite.maven.RemoveRedundantDependencyVersions","12","10","0","0.0","0","1351200","524284.0","513900"
"org.openrewrite.java.migrate.UpgradeBuildToJava17","12","10","16800","4592.0","4500","38900","7360.0","7200"
"org.openrewrite.java.ReplaceConstantWithAnotherConstant","12","10","0","0.0","0","72500","23520.0","23400"
"org.openrewrite.maven.UpgradeDependencyVersion","12","10","849200","392960.0","386300","150300","19968.0","19500"
"org.openrewrite.java.migrate.UpgradeBuildToJava11","12","10","9400","2552.0","2500","20400","6112.0","6100"
"org.openrewrite.java.migrate.util.SequencedCollection","12","10","13400","4600.0","4400","33700","5824.0","5700"
"org.openrewrite.java.migrate.UpgradePluginsForJava21","12","10","12000","3708.0","3600","35000","5312.0","5300"
"org.openrewrite.java.migrate.CastArraysAsListToList","12","10","0","0.0","0","27000","6128.0","6100"
"org.openrewrite.java.migrate.JREWrapperInterface","12","10","14400","6904.0","6700","11400","1840.0","1800"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketSetTTLToSetTimeToLive","12","10","0","0.0","0","25100","7416.0","7300"
"org.openrewrite.java.migrate.UpgradeBuildToJava21","12","10","55500","40952.0","39900","16500","5088.0","5100"
